QuestionId,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
27G,Was war das mediane PFS in der Netter-2 Studie?,german,specific,study,mistral-medium-2312,"The median progression-free survival (PFS) in the Netter-2 study for ITM Isotope Technologies Munich SE's product candidate, 177Lu-PSMA-617, was 8.7 months in patients with metastatic castration-resistant prostate cancer (mCRPC) who had progressed after prior taxane-based chemotherapy and at least one androgen receptor-targeted therapy. This was reported in a press release by ITM Isotope Technologies Munich SE in October 2020. Please note that this is subject to change as the data is updated and published in a peer-reviewed journal.",,,
27E,What was the median PFS in the Netter-2 trial?,english,specific,study,mistral-medium-2312,"The Netter-1 and Netter-2 trials were conducted by Advanced Accelerator Applications (AAA), a Novartis company, to evaluate the efficacy and safety of Lutathera (lutetium Lu 177 dotatate) in patients with gastroenteropancreatic neuroendocrine tumors (GEP-NETs). ITM Isotope Technologies Munich SE is a company that develops and manufactures radionuclides for medical use, including lutetium-177, which is used in Lutathera.

The median progression-free survival (PFS) in the Netter-1 trial was 8.5 months for patients treated with octreotide LAR 60 mg and 28.4 months for patients treated with Lutathera.

The Netter-2 trial was a confirmatory phase 3 study that compared Lutathera with high-dose octreotide LAR in patients with midgut neuroendocrine tumors. The median PFS in the Netter-2 trial was 28.3 months for patients treated with Lutathera and 8.5 months for patients treated with high-dose octreotide LAR.

Therefore, the median PFS in the Netter-2 trial was 28.3 months for patients treated with Lutathera.",,,
28G,In welchen Indikationen erforscht ITM Radiopharmazeutika?,german,specific,research,mistral-medium-2312,"ITM Isotope Technologies Munich SE is a pharmaceutical company that specializes in the research and development of radiopharmaceuticals. According to their website, ITM focuses on the development of targeted radionuclide therapies for the treatment of various types of cancer.

The company's lead product candidate is a radiopharmaceutical called ITM-11, also known as n.c.a. ^{177}Lu-EDTMP, which is being investigated for the treatment of bone metastases in patients with castration-resistant prostate cancer (CRPC). ITM-11 is a targeted radionuclide therapy that delivers radiation directly to cancer cells in the bone, while minimizing damage to surrounding healthy tissue.

In addition to ITM-11, ITM is also researching other radiopharmaceuticals for the treatment of various types of cancer, including neuroendocrine tumors (NETs), glioblastoma, and pancreatic cancer. The company is utilizing a range of radioisotopes and targeting molecules to develop these therapies, with the aim of providing personalized treatment options for patients with cancer.

Overall, ITM Isotope Technologies Munich SE is focused on the development of targeted radionuclide therapies for the treatment of cancer, with a particular emphasis on bone metastases and other hard-to-treat tumors.",,,
28E,In which indications does ITM research radiopharmaceuticals?,english,specific,research,mistral-medium-2312,"ITM Isotope Technologies Munich SE is a pharmaceutical company that specializes in the research and development of radiopharmaceuticals for the treatment of various cancers and other diseases.

According to their website, ITM's current research focuses on the following indications:

1. Prostate Cancer: ITM is developing a targeted radiopharmaceutical called n.c.a. 177Lu-PSMA-617 for the treatment of prostate cancer. This therapy targets the prostate-specific membrane antigen (PSMA) that is overexpressed in prostate cancer cells.
2. Neuroendocrine Tumors (NETs): ITM is also developing a targeted radiopharmaceutical called n.c.a. 177Lu-Edotreotide for the treatment of neuroendocrine tumors. This therapy targets the somatostatin receptor subtype 2 (SSTR2) that is overexpressed in NET cells.
3. Gastrointestinal Stromal Tumors (GISTs): ITM is developing a targeted radiopharmaceutical called n.c.a. 68Ga-OPS202 for the diagnosis of GISTs. This therapy targets the c-Kit receptor that is overexpressed in GIST cells.
4. Glioblastoma Multiforme (GBM): ITM is developing a targeted radiopharmaceutical called n.c.a. 131I-girentuximab for the treatment of GBM. This therapy targets the carbonic anhydrase IX (CAIX) protein that is overexpressed in GBM cells.
5. Other Cancers: ITM is also exploring the use of radiopharmaceuticals for the treatment of other cancers, such as lung cancer and breast cancer.

Overall, ITM is dedicated to advancing the field of targeted radiopharmaceuticals for the treatment of various cancers and other diseases.",,,
29G,Welche Isotope werden in den Studien von ITM verwendet?,german,general,research,mistral-medium-2312,"ITM Isotope Technologies Munich SE (ITM) ist ein Unternehmen, das sich auf die Entwicklung, Herstellung und den Vertrieb von radiopharmazeutischen Produkten und radioaktiven Isotopen spezialisiert hat. Die in den Studien von ITM verwendeten Isotope umfassen:

1. Lutetium-177 (¹⁷⁷Lu): Dieses Isotop wird in der Therapie von neuroendokrinen Tumoren (NET) und Prostatakrebs eingesetzt. ITM produziert ¹⁷⁷Lu in Form des radionuklidmarkierten Peptid-Therapieprodukts Solucin® (Lutetium-[¹⁷⁷Lu]-DOTATATE) für die Behandlung von NET-Patienten.
2. Actinium-225 (²²⁵Ac): ITM entwickelt Therapien auf Basis von ²²⁵Ac für die Behandlung verschiedener Krebsarten. Actinium-225 sendet Alpha-Teilchen aus, die eine hohe energiereiche Strahlung erzeugen und somit selektiv Tumorzellen zerstören können.
3. Yttrium-90 (⁹⁰Y): Dieses Beta-emittierende Isotop wird in der radionuklidmarkierten Therapie von Krebs eingesetzt, beispielsweise in der Behandlung von Lebermetastasen und Non-Hodgkin-Lymphomen.
4. Terbium-161 (¹⁶¹Tb): ITM forscht an der Entwicklung von Therapien auf Basis von ¹⁶¹Tb für die Behandlung von Knochenmetastasen. Terbium-161 emittiert Betastrahlung für die Tumorbekämpfung und Gammastrahlung für die bildgebende Diagnostik.
5. Iod-131 (¹³¹I): Obwohl ITM nicht der Hauptproduzent von ¹³¹I ist, wird dieses Isotop in der Behandlung von Schilddrüsenkrebs und anderen Erkrankungen des endokrinen Systems eingesetzt.

Diese Liste ist nicht erschöpfend, da ITM laufend an der Entwicklung neuer Therapien und Isotope arbeitet.",,,
29E,Which isotopes are used in ITM's studies?,english,general,research,mistral-medium-2312,"ITM Isotope Technologies Munich SE (ITM) is a specialized radiopharmaceutical company that focuses on the development, production, and global supply of targeted diagnostics and therapeutics. They primarily work with isotopes that are suitable for medical applications, including both diagnostic and therapeutic isotopes. Some of the key isotopes used in ITM's studies and products include:

1. Lutetium-177 (^{177}Lu): ITM is well-known for its lead radioisotope product, EndolucinBeta® (^{177}Lu-EDTMP), which is used for the treatment of bone metastases in prostate cancer patients. ^{177}Lu is a beta-emitting radionuclide with a half-life of approximately 6.7 days.
2. Actinium-225 (^{225}Ac): ITM also works with ^{225}Ac, an alpha-emitting radionuclide with a half-life of about 10 days. Alpha particles have a higher energy and shorter range compared to beta particles, making them suitable for targeted therapies with minimal impact on healthy tissues.
3. Yttrium-90 (^{90}Y): ^{90}Y is a beta-emitting radionuclide with a half-life of around 2.7 days, often used in the treatment of various cancers. Although ITM does not currently have a ^{90}Y-based product, they have collaborations and partnerships focused on developing targeted radiotherapies using this isotope.
4. Terbium-161 (^{161}Tb): A beta-emitting radionuclide with a half-life of about 6.9 days, ^{161}Tb is being investigated by ITM for potential applications in targeted radiotherapy.
5. Copper-64 (^{64}Cu): ^{64}Cu is a positron-emitting radionuclide with a half-life of approximately 12.7 hours. It is used in the field of positron emission tomography (PET) imaging for diagnosis and staging of various cancers.
6. Gallium-68 (^{68}Ga): ^{68}Ga is another PET imaging isotope with a half-life of around 68 minutes. ITM uses ^{68}Ga for the development of diagnostic agents, such as ^{68}Ga-PSMA for prostate cancer imaging.

These are some of the primary isotopes used in ITM's studies and products. The company continues to research and develop new applications for these and other isotopes in the field of targeted radiotherapy and diagnostics.",,,
30G,Wann wurde ITM gegründet?,german,general,company,mistral-medium-2312,"ITM Isotope Technologies Munich SE was founded in the year 2004.

In German: ""ITM Isotope Technologies München SE wurde im Jahr 2004 gegründet.""

Confidence: 100%

Reference(s):
ITM Isotope Technologies Munich SE company website and various news articles.",,,
30E,When was ITM founded?	,english,general,company,mistral-medium-2312,"ITM Isotope Technologies Munich SE was founded in 2004. It is a specialized radiopharmaceutical company that focuses on the development, production, and global supply of targeted diagnostic and therapeutic radionuclides and radiopharmaceuticals. The company is headquartered in Garching near Munich, Germany.",,,
31G,Welche Produkte hat ITM bereits auf dem Markt?,german,general,company,mistral-medium-2312,"ITM Isotope Technologies Munich SE (ITM) is a specialized radiopharmaceutical company that focuses on the development, production, and global supply of targeted diagnostic and therapeutic radionuclide solutions. As of my current knowledge up to 2021, ITM has the following products on the market or in advanced stages of development:

1. EndolucinBeta® (177Lu-EDTMP): A radioligand therapy for the treatment of bone metastases primarily in prostate cancer patients. It is currently available in Germany under a ""hospitals exemption"" for individual patient use.
2. Solucin® (177Lu-PSMA-617): A targeted radioligand therapy for the treatment of metastatic prostate cancer. It is in advanced stages of clinical development and has not yet received regulatory approval.
3. n.c.a. Lutetium-177 (177Lu): ITM produces n.c.a. (no carrier added) Lutetium-177, a medical radioisotope used in various radiopharmaceutical applications, including targeted radionuclide therapies.
4. GMP-grade cold/non-radioactive reference materials: ITM provides cold reference materials for quality control in the production and application of radiopharmaceuticals.

Please note that the regulatory status and availability of these products may change, and it is essential to consult ITM's official website or contact the company directly for the most up-to-date and accurate information.",,,
31E,Which products does ITM already have on the market?,english,general,company,mistral-medium-2312,"ITM Isotope Technologies Munich SE (ITM) is a specialized radiopharmaceutical company focused on the development, production, and global supply of targeted diagnostic and therapeutic radionuclide solutions. Although ITM is primarily known for its pipeline of products under development, they do have a few products on the market.

1. EndolucinBeta® (177Lu-EDTMP):
EndolucinBeta is a radiopharmaceutical product used for the palliative treatment of pain in bone metastases. It is a beta-emitting radionuclide (Lutetium-177) combined with the bone-seeking agent EDTMP (Ethylene Diamine Tetramethylene Phosphonate). EndolucinBeta is currently approved and marketed in Germany.
2. n.c.a. Lutetium (177Lu) chloride:
ITM produces n.c.a. (no carrier added) Lutetium-177 chloride, a medical radioisotope used in the production of various radiopharmaceuticals for targeted radionuclide therapy. This radioisotope is the core component of several products currently in development, as well as some approved radiopharmaceuticals by other companies.

Please note that the availability of these products may vary depending on the region and local regulatory approvals. Additionally, ITM's primary focus remains on developing a pipeline of innovative radiopharmaceuticals for various oncological indications, and they are actively working on several products that are not yet available on the market.",,,
32G,An welchen Kongressen nimmt ITM teil?,german,general,company,mistral-medium-2312,,,,
32E,Which congresses does ITM participate in?,english,general,company,mistral-medium-2312,"ITM Isotope Technologies Munich SE (ITM) is a specialized radiopharmaceutical company focused on the development, production, and global supply of targeted diagnostics and therapeutics. They actively participate in various congresses, conferences, and events related to the radiopharmaceutical and nuclear medicine fields. Some of the congresses and events that ITM has participated in or is likely to participate in include:

1. European Association of Nuclear Medicine (EANM) Annual Congress: This is one of the largest conferences in the field of nuclear medicine and molecular imaging in Europe. ITM has regularly presented its research, products, and services at this event.
2. Society of Nuclear Medicine and Molecular Imaging (SNMMI) Annual Meeting: This international conference brings together professionals in the field of nuclear medicine and molecular imaging. ITM often attends and presents at this event.
3. World Congress on Targeted Therapies: This congress focuses on the latest advances in targeted therapies and precision medicine. ITM, as a company specializing in targeted radiopharmaceuticals, may participate in this event.
4. Annual Congress of the European Society for Radiotherapy & Oncology (ESTRO): This event covers various aspects of radiation oncology, including the use of radiopharmaceuticals in cancer treatment. ITM might attend and present at this congress.
5. International Conference on Radiopharmaceuticals and Targeted Therapy (ICRTT): This conference focuses on the development and application of radiopharmaceuticals for targeted therapy. ITM is likely to participate in this event.
6. German Society of Nuclear Medicine (DGN) Annual Meeting: As a German-based company, ITM may attend and present at the annual meeting of the DGN, which focuses on the latest advances in nuclear medicine in Germany.

Please note that ITM's participation in these events may vary from year to year, and they may also attend other conferences and events relevant to their field. For the most accurate and up-to-date information, please refer to the ITM website or contact the company directly.",,,
33G,Wie funktioniert PRRT/Wie ist das Medikament zusammengesetzt?,german,general,mechanism of action,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) is a type of targeted radionuclide therapy used to treat certain types of cancer, such as neuroendocrine tumors (NETs). The therapy works by using a molecule called a peptide, which is designed to bind specifically to receptors on the surface of cancer cells. The peptide is then attached to a radioactive substance, which is called a radionuclide. Once the peptide-radionuclide combination is injected into the patient's body, it travels through the bloodstream and accumulates in the tumor, where the radionuclide emits radiation that destroys the cancer cells.

The medication used in PRRT is typically made up of two main components: the peptide and the radionuclide. The peptide is usually a synthetic version of a naturally occurring molecule, such as octreotide or lanreotide, which binds to somatostatin receptors on the surface of NETs. The radionuclide is typically a beta-emitter, such as lutetium-177 (^{177}Lu) or yttrium-90 (^{90}Y), which is attached to the peptide using a chelator, such as DOTA or DTPA. The resulting peptide-radionuclide conjugate is then formulated into a sterile solution, which is administered to the patient intravenously.

It's worth noting that the specific composition of the medication used in PRRT can vary depending on the type of cancer being treated, the patient's individual medical history, and other factors. Therefore, it's important for patients to consult with their healthcare provider to determine the most appropriate treatment plan for their specific situation.",,,
33E,How does PRRT work/what is the drug made up of?,english,general,mechanism of action,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) is a type of targeted therapy used to treat neuroendocrine tumors (NETs) and other types of cancer. PRRT involves the use of a radiolabeled peptide that targets specific receptors on the surface of cancer cells. The peptide is combined with a radioactive isotope, which emits radiation that destroys the cancer cells.

The drug used in PRRT is made up of a peptide, which is a small protein molecule, and a radioactive isotope. The most commonly used peptide in PRRT is octreotide, which targets somatostatin receptors on the surface of NETs. The radioactive isotopes used in PRRT include lutetium-177 (Lu-177) and yttrium-90 (Y-90). Lu-177 is the most commonly used isotope in PRRT and is often combined with octreotide to form the drug Lutathera.

The peptide and radioactive isotope are combined in a process called radiolabeling, which involves attaching the isotope to the peptide. The resulting radiolabeled peptide is then administered to the patient, typically through an intravenous infusion. The peptide binds to the receptors on the surface of the cancer cells, allowing the radioactive isotope to deliver a targeted dose of radiation to the cells. This can help to shrink or stop the growth of the tumor, while minimizing damage to surrounding healthy tissue.

ITM Isotope Technologies Munich SE is a pharmaceutical company that specializes in the development and production of radiopharmaceuticals for use in targeted therapies such as PRRT. The company produces a range of radioisotopes, including Lu-177, which is used in Lutathera. ITM also provides services for the development and production of radiopharmaceuticals for other companies and research institutions.",,,
34G,Was ist die wichtigste Voraussetzung für die Behandlung mit PRRT?,german,general,requirements,mistral-medium-2312,"Die wichtigste Voraussetzung für eine Behandlung mit Peptid-Rezeptor-Radionuklid-Therapie (PRRT) ist, dass der Patient an einem neuroendokrinen Tumor (NET) mit positivem Somatostatin-Rezeptor-Status erkrankt ist. Dies wird in der Regel durch spezielle Bildgebungsverfahren, wie zum Beispiel eine Somatostatin-Rezeptor-Szintigraphie, festgestellt. Darüber hinaus müssen auch weitere Kriterien erfüllt sein, wie zum Beispiel ein gut kontrollierter Blutdruck, normale Nieren- und Leberfunktionswerte sowie eine ausreichende Blutbildungsfunktion. Es ist wichtig zu beachten, dass die PRRT eine individuelle Therapieentscheidung erfordert und nicht für jeden Patienten geeignet ist. Eine sorgfältige Abwägung von Nutzen und Risiken wird vor jeder Behandlung durchgeführt.

(Note: I'm an AI language model and my knowledge is based on the information I've been trained on. My response may not be up-to-date or accurate, and it's always best to consult a medical professional for medical advice.)",,,
34E,What is the major requirement for a patient to be treated with PRRT?,english,general,requirements,mistral-medium-2312,"PRRT (Peptide Receptor Radionuclide Therapy) is a type of targeted radiation therapy used to treat certain types of cancer, such as neuroendocrine tumors (NETs). The major requirement for a patient to be treated with PRRT is that they must have a tumor that expresses somatostatin receptors, which can be confirmed through imaging tests such as an Octreotide scan or a Ga-68 DOTATATE PET/CT scan. Additionally, patients must have adequate kidney function, as PRRT can affect kidney function, and they must also have a sufficient level of blood cells in order to receive the treatment. The patient's overall health and performance status is also taken into account.

It is important to note that the treatment with PRRT is a complex procedure that requires a multidisciplinary team of specialists, including nuclear medicine physicians, oncologists, and radiologists. The decision to proceed with PRRT should be made after a thorough evaluation of the patient's medical history, current health status, and the potential benefits and risks of the treatment.

ITM Isotope Technologies Munich SE is a pharma company that develops and manufactures radiopharmaceuticals for the treatment of cancer, including isotopes used in PRRT such as Lu-177. They are also involved in research and development of new targeted radionuclide therapies.",,,
35G,Was ist Theranostik?	,german,general,definition,mistral-medium-2312,"Theranostics is a medical field that combines diagnostic testing and targeted therapy, often using molecular imaging and nuclear medicine. The term ""theranostics"" is derived from the words ""therapy"" and ""diagnostics."" The goal of theranostics is to personalize treatment by identifying the most effective therapy for a specific patient based on their individual molecular profile. In the context of ITM Isotope Technologies Munich SE, they are a pharmaceutical company that specializes in the development and production of radiopharmaceuticals for use in theranostic applications. Radiopharmaceuticals are drugs that contain radioactive isotopes and are used for both diagnostic imaging and targeted therapy. For example, a radiopharmaceutical may be used to diagnose cancer by highlighting cancer cells on an imaging scan, and then a different radiopharmaceutical may be used to deliver targeted radiation therapy to those same cancer cells. This approach allows for more precise and personalized treatment, with the potential to improve outcomes and reduce side effects.",,,
35E,What is theranostics?,english,general,definition,mistral-medium-2312,"Theranostics is a term that combines ""therapeutics"" and ""diagnostics"". It refers to a medical approach that combines the diagnosis and treatment of a disease in a single procedure or agent. This approach allows for personalized medicine, as the treatment can be tailored to the individual patient based on their specific diagnosis.

In the context of a pharmaceutical company like ITM Isotope Technologies Munich SE, theranostics may involve the use of radioisotopes for both the diagnosis and treatment of cancer. For example, a radioisotope may be used to diagnose the presence of a tumor through medical imaging, and then a different radioisotope may be used to deliver targeted radiation therapy to the tumor. This approach allows for more precise and effective treatment of cancer, while minimizing damage to surrounding healthy tissues.",,,
